what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741207702643
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741207799332
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741207801077
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1741207821017
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741207830751
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741207830793
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741207835245
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741207835245
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1741207838877
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741207865356
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741208000922
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741208241045
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1741208249868
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741208253833
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741208263531
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1741208263543
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741208275251
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741208485381
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741208487918
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1741208493175
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1741208493177
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1741208493251
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741208509087
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741208738472
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741208749181
