what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1741261029748
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1741261030130
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1741261032766
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261037590
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261039740
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261039832
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261045038
executed,command,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.launchShortcut.run",1741261045049
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741261045085
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741261045099
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741261052173
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741261052179
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1741261055621
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1741261075021
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741261076012
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1741261084704
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1741261089073
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261095045
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261096894
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261096992
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261099555
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261099571
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261101507
executed,command,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.launchShortcut.run",1741261101515
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741261105056
