what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1740063362907
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740063366013
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740063389758
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740063392045
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740063394265
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1740063463721
opened,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1740063465058
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1740063465183
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1740063470905
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1740063472641
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1740063474726
closed,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1740063474726
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740063495761
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740063542735
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740063545241
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740063552355
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1740063556812
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740063643052
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740079627422
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1740079636858
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1740079636858
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740079638628
closed,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1740079638628
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1740079640148
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740079640148
