what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1741259727585
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1741259735174
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741259738454
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741259752738
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741259762997
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741259776317
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1741259789376
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741259825614
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741259830390
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741259834031
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741259964768
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741259965039
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741259969741
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741259977014
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741260006320
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741260013925
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1741260015272
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1741260023759
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741260035321
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741260040466
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1741260041340
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1741260042033
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1741260043700
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1741260045013
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1741260045231
