what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740650900450
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740650900466
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740650902284
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740650902491
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740650905282
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740650905323
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740650907191
executed,command,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.launchShortcut.run",1740650907239
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1740650911299
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1740650911362
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740650928394
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1740650959158
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740651036591
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1740651082391
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740651129436
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740651131364
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740651155241
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1740651158702
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1740651159779
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740651162221
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1740651163718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740651165440
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740651369698
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740651375256
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740651446399
