what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056367794
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056373049
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1740056373089
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1740056373089
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1740056381093
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056383022
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056386032
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056396825
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056399477
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.ui",1740056404366
started,bundle,org.eclipse.wst.web.ui,1.1.300.v200905242131,"org.eclipse.wst.web.ui",1740056404366
started,bundle,org.eclipse.jst.j2ee.web,1.1.301.v200908270924,"org.eclipse.jst.j2ee.web",1740056404398
started,bundle,org.eclipse.jst.common.frameworks,1.1.300.v200904132230,"org.eclipse.jst.common.frameworks",1740056404446
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.1.v200908111817,"org.eclipse.jst.common.project.facet.ui",1740056404555
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056404626
started,bundle,org.eclipse.jem.workbench,2.0.201.v200908271530,"org.eclipse.jem.workbench",1740056451620
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.300.v200904230730,"org.eclipse.jst.j2ee.ejb",1740056451910
started,bundle,org.eclipse.jst.j2ee.jca,1.1.300.v200903120000,"org.eclipse.jst.j2ee.jca",1740056451910
started,bundle,org.eclipse.jst.jee.ejb,1.0.201.v200908101600,"org.eclipse.jst.jee.ejb",1740056451926
started,bundle,org.eclipse.jst.jee.web,1.0.200.v200904130912,"org.eclipse.jst.jee.web",1740056451926
started,bundle,org.eclipse.xsd,2.5.0.v200906151043,"org.eclipse.xsd",1740056451990
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.200.v200905120445,"org.eclipse.wst.jsdt.web.core",1740056452221
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056452384
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1740056452966
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1740056452966
