what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1741263273962
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1741263274041
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741263301202
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741263305818
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741263307169
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741263307263
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741263309562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741263309578
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741263311173
executed,command,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.launchShortcut.run",1741263311183
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741263314730
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741263314748
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741263319463
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741263319472
closed,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1741263321242
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741263323740
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1741263328444
opened,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1741263328631
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1741263328700
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741263354669
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741263358861
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741263360567
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741263360660
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741263362622
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741263362640
