what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741261105077
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741261112408
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741261112408
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741261119710
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1741261175431
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1741261180415
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261184000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261186065
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261186160
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261188533
executed,command,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.launchShortcut.run",1741261188543
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741261188575
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741261188590
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741261213576
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741261213582
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1741261218137
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741261226748
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261230477
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261250828
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1741261252340
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1741261253232
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1741261256508
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261259785
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261261275
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261261360
