what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.run",1740056168729
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1740056168871
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1740056169251
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1740056169272
activated,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1740056171198
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056173884
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056175374
activated,editor,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.editor",1740056188291
activated,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1740056188382
closed,editor,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.editor",1740056188382
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056193514
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056231217
executed,command,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.run",1740056237611
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1740056238012
activated,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1740056239038
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1740056239524
activated,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1740056241467
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1740056245538
activated,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1740056255888
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056256800
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056269133
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056274890
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056351967
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056354062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740056358526
