what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1741264088484
closed,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741264088485
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741264088490
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741264088512
closed,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741264088523
closed,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1741264088529
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741264088542
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741264088548
closed,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741264088556
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741264088563
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741264105268
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741264636412
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741264644897
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741264654755
opened,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741264654809
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741264654826
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1741264656900
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1741264658549
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741264664332
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741264707284
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741264723057
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741264969026
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1741264969039
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741264973479
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741264977082
