what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1740061614902
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061622821
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061693895
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061695762
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061703240
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740061769954
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1740061777754
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061780273
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061815397
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061818992
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061888238
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1740061888513
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740061889993
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1740061922666
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740061934416
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740061934504
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1740061940650
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740061943270
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740061943270
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1740061945646
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1740061954844
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1740061964159
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740061970135
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061977112
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061989629
