what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740644314716
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1740644318571
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740644322323
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740644324584
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1740644324613
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1740644324613
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1740644340817
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740644355375
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1740644357198
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740644361036
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740644366036
opened,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1740644368525
activated,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1740644368587
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740644373519
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740644388887
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1740644389304
activated,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1740644394557
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740644394860
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740644398487
executed,command,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.run",1740644398584
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.102.v20090424,"org.eclipse.jst.server.tomcat.ui",1740644398630
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1740644399192
activated,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1740644401100
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740644402719
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740644409417
