what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740060803281
executed,command,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.launchShortcut.run",1740060803313
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1740060807241
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1740060807327
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1740060991658
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740060998276
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061003726
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1740061003757
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1740061004750
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1740061008832
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1740061013994
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1740061016652
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1740061027554
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1740061043124
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1740061055977
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740061063384
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1740061070865
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1740061074218
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061083269
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061472030
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061474167
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061497730
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061503942
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061540380
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1740061542843
