what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261837368
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261840227
executed,command,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.launchShortcut.run",1741261840242
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741261840280
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741261840293
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261842808
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261845151
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261845450
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261849267
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261849277
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261851982
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261852997
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741261919639
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741261919846
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741261944323
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741261961227
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741261986151
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1741262000230
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741262007024
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741262010329
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741262010332
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741262014159
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741262015640
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741262015730
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741262017432
